Simulation number, StressAgent, timestep_of_default, type_of_default, equity_at_default, lcr_at_default, leverage_at_default
1, Bank 2, 3, SOLVENCY, -0.5122462054915746, 52.81107790020056, -0.0013075169097768317
1, Hedgefund 1, 4, LIQUIDITY, 51.55345879319105, 18.709026043482254, 0.34408946432506654
1, Bank 1, 5, LIQUIDITY, NaN, NaN, NaN
2, Bank 2, 3, SOLVENCY, -0.5122462054915746, 52.81107790020056, -0.0013075169097768317
2, Hedgefund 1, 4, LIQUIDITY, 51.55345879319105, 18.709026043482254, 0.3440894643250665
2, Bank 1, 4, SOLVENCY, -296.2115579749521, 52.76011605936406, -2.2581493540989896
2, Bank 3, 5, SOLVENCY, -17.815709546006026, 116.34716544138192, -0.06144385646155387
